invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,year,month,day
1,WALM003,"San Antonio","Health and beauty",74.69,7,2019-01-05,13:08:00,Ewallet,9.1,0.48,2019,1,5
2,WALM048,Harlingen,"Electronic accessories",15.28,5,2019-03-08,10:29:00,Cash,9.6,0.48,2019,3,8
3,WALM067,"Haltom City","Home and lifestyle",46.33,7,2019-03-03,13:23:00,"Credit card",7.4,0.33,2019,3,3
4,WALM064,Bedford,"Health and beauty",58.22,8,2019-01-27,20:33:00,Ewallet,8.4,0.33,2019,1,27
5,WALM013,Irving,"Sports and travel",86.31,7,2019-02-08,10:37:00,Ewallet,5.3,0.48,2019,2,8
6,WALM026,Denton,"Electronic accessories",85.39,7,2019-03-25,18:30:00,Ewallet,4.1,0.48,2019,3,25
7,WALM088,Cleburne,"Electronic accessories",68.84,6,2019-02-25,14:36:00,Ewallet,5.8,0.33,2019,2,25
8,WALM100,Canyon,"Home and lifestyle",73.56,10,2019-02-24,11:38:00,Ewallet,8,0.18,2019,2,24
9,WALM066,Grapevine,"Health and beauty",36.26,2,2019-01-10,17:15:00,"Credit card",7.2,0.33,2019,1,10
10,WALM065,"Texas City","Food and beverages",54.84,3,2019-02-20,13:27:00,"Credit card",5.9,0.33,2019,2,20
11,WALM013,Irving,"Fashion accessories",14.48,4,2019-02-06,18:07:00,Ewallet,4.5,0.48,2019,2,6
12,WALM035,"San Angelo","Electronic accessories",25.51,4,2019-03-09,17:03:00,Cash,6.8,0.48,2019,3,9
13,WALM027,Abilene,"Electronic accessories",46.95,5,2019-02-12,10:25:00,Ewallet,7.1,0.48,2019,2,12
14,WALM035,"San Angelo","Food and beverages",43.19,10,2019-02-07,16:48:00,Ewallet,8.2,0.48,2019,2,7
15,WALM031,Lewisville,"Health and beauty",71.38,10,2019-03-29,19:21:00,Cash,5.7,0.48,2019,3,29
16,WALM008,"Corpus Christi","Sports and travel",93.72,6,2019-01-15,16:19:00,Cash,4.5,0.48,2019,1,15
